Species,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,male_maturity_d,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d
Sarcophilus_harrisii,730.56,2.94,1,6500,13.05833333,26,243.33,0.02175,850,NA,NA,NA,8.1,730,0.999315537,7000,9000,6126.8,NA,NA,NA,67.893,NA,NA,NA,NA,NA,NA,NA
Sminthopsis_aitkeni,NA,NA,NA,21.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sminthopsis_archeri,NA,8.15,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.242,NA,NA,NA,NA,NA,NA,NA
Sminthopsis_bindi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sminthopsis_boullangerensis,365.28,8,NA,17.5,3.6,NA,70,NA,NA,NA,NA,NA,3.5875,NA,NA,15,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sminthopsis_butleri,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sminthopsis_crassicaudata,121.76,7,2,15.98,5.075,15,70,0.01,6.5,NA,NA,NA,2,159,0.26146475,NA,14.6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sminthopsis_dolichura,289.12,7.2,1.1,14.39,3.17,NA,90,NA,3.87,NA,NA,NA,3,NA,0.999315537,13.5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sminthopsis_douglasi,182.64,6.79,NA,55,3.241666667,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA
Sminthopsis_fuliginosus,182.075,8,2,16.35,2,12.5,70.63,NA,3.04,NA,NA,NA,2,NA,0.999315537,NA,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
